,date,bithumb,coinone,korbit,upbit,gopax
554,2015-07-04,379507,0,0,0,0
555,2015-07-05,947187,0,0,0,0
556,2015-07-06,1215570,0,0,0,0
557,2015-07-07,1009189,0,0,0,0
558,2015-07-08,1148833,0,0,0,0
559,2015-07-09,605481,0,0,0,0
560,2015-07-10,0,0,0,0,0
561,2015-07-11,1402842,0,0,0,0
562,2015-07-12,0,0,0,0,0
563,2015-07-13,0,0,0,0,0
564,2015-07-14,1426488,0,0,0,0
565,2015-07-15,1049066,0,0,0,0
566,2015-07-16,1276483,0,0,0,0
567,2015-07-17,1011417,0,0,0,0
568,2015-07-18,599430,0,0,0,0
569,2015-07-19,622307,0,0,0,0
570,2015-07-20,917552,0,0,0,0
571,2015-07-21,1097842,0,0,0,0
572,2015-07-22,838759,0,0,0,0
573,2015-07-23,577909,0,0,0,0
574,2015-07-24,1243841,0,0,0,0
575,2015-07-25,638011,0,0,0,0
576,2015-07-26,564099,0,0,0,0
577,2015-07-27,1037306,0,0,0,0
578,2015-07-28,1039407,0,0,0,0
579,2015-07-29,915908,0,0,0,0
580,2015-07-30,1105143,0,0,0,0
581,2015-07-31,1252039,0,0,0,0
582,2015-08-01,654567,0,0,0,0
583,2015-08-02,531223,0,0,0,0
584,2015-08-03,776130,0,0,0,0
585,2015-08-04,691334,0,0,0,0
586,2015-08-05,611822,0,0,0,0
587,2015-08-06,588344,0,0,0,0
588,2015-08-07,735806,0,0,0,0
589,2015-08-08,1027233,0,0,0,0
590,2015-08-09,589987,0,0,0,0
591,2015-08-10,1008256,0,0,0,0
592,2015-08-11,965950,0,0,0,0
593,2015-08-12,906795,0,0,0,0
594,2015-08-13,911376,0,0,0,0
595,2015-08-14,765450,0,0,0,0
596,2015-08-15,378099,0,0,0,0
597,2015-08-16,630027,0,0,0,0
598,2015-08-17,743376,0,0,0,0
599,2015-08-18,822631,0,0,0,0
600,2015-08-19,1526853,0,0,0,0
601,2015-08-20,1007255,0,0,0,0
602,2015-08-21,570560,0,0,0,0
603,2015-08-22,799623,0,0,0,0
604,2015-08-23,573823,0,0,0,0
605,2015-08-24,1587139,0,0,0,0
606,2015-08-25,1742955,0,0,0,0
607,2015-08-26,1349901,0,0,0,0
608,2015-08-27,740401,0,0,0,0
609,2015-08-28,1088973,0,0,0,0
610,2015-08-29,665983,0,0,0,0
611,2015-08-30,383557,0,0,0,0
612,2015-08-31,1022730,0,0,0,0
613,2015-09-01,623994,0,0,0,0
614,2015-09-02,725734,0,0,0,0
615,2015-09-03,685813,0,0,0,0
616,2015-09-04,711150,0,0,0,0
617,2015-09-05,540810,0,0,0,0
618,2015-09-06,1015931,0,0,0,0
619,2015-09-07,850351,0,0,0,0
620,2015-09-08,1119156,0,0,0,0
621,2015-09-09,1309974,0,0,0,0
622,2015-09-10,1030523,0,0,0,0
623,2015-09-11,716932,0,0,0,0
624,2015-09-12,460108,0,0,0,0
625,2015-09-13,662570,0,0,0,0
626,2015-09-14,865609,0,0,0,0
627,2015-09-15,721612,0,0,0,0
628,2015-09-16,682055,0,0,0,0
629,2015-09-17,607391,0,0,0,0
630,2015-09-18,579132,0,0,0,0
631,2015-09-19,328458,0,0,0,0
632,2015-09-20,283476,0,0,0,0
633,2015-09-21,822900,0,0,0,0
634,2015-09-22,769321,0,0,0,0
635,2015-09-23,449149,0,0,0,0
636,2015-09-24,791196,0,0,0,0
637,2015-09-25,766844,0,0,0,0
638,2015-09-26,464747,0,0,0,0
639,2015-09-27,296488,0,0,0,0
640,2015-09-28,959795,0,0,0,0
641,2015-09-29,629053,0,0,0,0
642,2015-09-30,961853,0,0,0,0
643,2015-10-01,700389,0,0,0,0
644,2015-10-02,821688,0,0,0,0
645,2015-10-03,497774,0,0,0,0
646,2015-10-04,381620,0,0,0,0
647,2015-10-05,879678,0,0,0,0
648,2015-10-06,875422,0,0,0,0
649,2015-10-07,1004543,0,0,0,0
650,2015-10-08,920635,0,0,0,0
651,2015-10-09,550495,0,0,0,0
652,2015-10-10,505753,0,0,0,0
653,2015-10-11,468864,0,0,0,0
654,2015-10-12,1085754,0,0,0,0
655,2015-10-13,1187346,0,0,0,0
656,2015-10-14,1098419,0,0,0,0
657,2015-10-15,717851,0,0,0,0
658,2015-10-16,1310060,0,0,0,0
659,2015-10-17,1075783,0,0,0,0
660,2015-10-18,1018575,0,0,0,0
661,2015-10-19,1107093,0,0,0,0
662,2015-10-20,857445,0,0,0,0
663,2015-10-21,829953,0,0,0,0
664,2015-10-22,882461,0,0,0,0
665,2015-10-23,929780,0,0,0,0
666,2015-10-24,757802,0,0,0,0
667,2015-10-25,1233864,0,0,0,0
668,2015-10-26,1173952,0,0,0,0
669,2015-10-27,1468218,0,0,0,0
670,2015-10-28,1621192,0,0,0,0
671,2015-10-29,1975057,0,0,0,0
672,2015-10-30,3077849,0,0,0,0
673,2015-10-31,1304145,0,0,0,0
674,2015-11-01,1011284,0,0,0,0
675,2015-11-02,2074276,0,0,0,0
676,2015-11-03,4390535,0,0,0,0
677,2015-11-04,0,0,0,0,0
678,2015-11-05,3270396,0,0,0,0
679,2015-11-06,3085185,0,0,0,0
680,2015-11-07,1244722,0,0,0,0
681,2015-11-08,935258,0,0,0,0
682,2015-11-09,2155204,0,0,0,0
683,2015-11-10,1446485,0,0,0,0
684,2015-11-11,2372523,0,0,0,0
685,2015-11-12,2080264,0,0,0,0
686,2015-11-13,1682653,0,0,0,0
687,2015-11-14,881850,0,0,0,0
688,2015-11-15,846310,0,0,0,0
